"id","premise","hypothesis","trial","response","confusing","confusing_reason","type","Answer.condition","Answer.time_in_minutes","anon_id"
"1036","  A spokesman for the Becton Dickinson's hypodermic needle division didn't say the company reviews so many products that it could not confirm whether the needle was tested.","The company reviews so many products that it could not confirm whether the needle was tested.",16,"100.00",0,"","target-negated",1,8.70475,119
"862"," The couvade is classically defined as the custom by which ""the father, on the birth of his child, makes a ceremonial pretence of being the mother, being nursed and taken care of, and performing other rites such as fasting and abstaining from certain kinds of food or occupations, lest the new-born should suffer thereby"" (Tylor 1889:254). In virtue of this custom, it isn't the father who is supposed to experience the symptoms of fatigue and disability that follow the birth, while the woman goes about her daily occupations.","Someone is supposed to experience the symptoms of fatigue and disabilility that follow the birth.",20,"100.00",0,"","target-negated",1,8.70475,119
"2041","and I thought it was a great opportunity for our children to gain exposure to their cultural background, so we stayed in Tuskegee after retiring, "" he says. Purnell and his wife, JoAnn, live in Washington, D.C., where he worked as curator at the National Air and Space Museum after leaving military service as a captain. And Crockett didn't work for the National Guard Bureau at the Pentagon for 6 years after retiring from the Air Force in 1970.","Crocket retired from the Air Force in 1970",8,"100.00",0,"","target-negated",1,8.82051666666667,119
"1729","I do believe they have the right to make that choice. Schorr: So it's not only male denseness that makes me say that--that seems to be not in the same category as AZT?","Something makes me say that",19,"100.00",0,"","target-negated",1,8.70475,119
"1917","He found me later that day, though, and we soon started dating. "" Ilana, 21 Lusty Lie "" I went to a massive party at a beach house with a bunch of girlfriends and immediately noticed a really hot guy. I didn't manage to strike up a conversation while we were both standing at the makeshift bar outside, and my friends slowly scattered.","Striking up a conversation was effortful for me",13,"89.89",1,"It doesn't appear that the individual actually started a conversation.","target-negated",1,8.70475,119
"adv_140","Now the results of tonight's poll; 19 percent of you said the United States should legalize the millions of illegal aliens already living in this country; 81 percent said we should not. Now ""America Works"" -- tonight, a garbage collector who is on the job hours before most of us are even beginning to think about waking up.","We hadn't been thinking about waking up after the garbage collector starting to work.",15,"5.32",0,"","target-original",1,8.70475,119
"2002","  Although the lowly potato has been content to occupy reserved seating in the corner of most American dinner plates, it is not rapidly regaining favor with the trendy and the fit, with very good reason.","The potato previously held favor with the trendy and the fit",18,"99.19",0,"","target-negated",1,8.70475,119
"59914e_filler","Their actions saved the lives of countless others, and may have saved either the Capitol or the White House from destruction.","They saved lives with what they were doing.",9,"100.00",0,"","filler",1,8.82051666666667,119
"2323"," Seconds later, the Mustang sputtered, whined, stopped. // She managed to steer to the right, stop just off the road.","It would take effort to steer to the right in this situation.",17,"95.21",0,"","target-original",1,8.70475,119
"adv_104","And I think George is absolutely right, they're going to start moving for delays. But they've got to figure out what kind of delays they go for and how much they can afford to possibly alienate some Democratic senators who want to go ahead and get this thing over with. So they've got a tight, it's a tougher road to walk for the White House, not a more delicate tightrope than what they faced in the House because they, the Senate Democrats are notoriously more independent and will be expected to, I think that they, it's like Senator Byrd, who just said yesterday as a Democrat, he talked about the President's Rose Garden speech after that impeachment and he called it an exercise of...","what they faced in the house is a tightrope only for them.",7,"11.11",0,"","target-negated",1,10.58195,119
