"","id","premise","hypothesis","trial","response","confusing","confusing_reason","type","Answer.condition","Answer.time_in_minutes","anon_id"
"1","2066","Ainge owns the school's all-time scoring record with 2,467 points, set before the three-point line existed in college. Last season, BYU reached the second round of the NCAA tournament for the first time in eight appearances since 1993.","Fredette talked to Ainge",27,50.6,1,"Who is Fredette?","target-prior",2,7.5282,20
"2","1809","Somehow, this was supposed to be bad news for men. Thus deepened the mancession.","I had previously been asking myself why we were watching men so closely after all these years",14,57.76,0,"","target-prior",2,7.93391666666667,20
"3","2439"," Betty plunged into what appeared to be the mouth of a cave.","Shannon previously had her footing.",22,85.66,1,"There is no mention of Shannon","target-prior",2,7.11886666666667,20
"4","2282","This is a question that everyone asks in our region. Israel's neighbors--Iran's neighbors know that Iran will become even more aggressive and sponsor even more terrorism when its economy is unshackled and it's been given a clear path to the bomb.","Many of these neighbors will respond by racing to get nuclear weapons of their own",10,86.27,0,"","target-prior",2,5.94691666666667,20
"5","95","But will it ever? "" The only way I could see it happening, ""says Page,"" would be if we could get together in a room and look each other in the eye and play and still be able to have a smile behind those eyes.","getting back together only to disappoint the fans is an idea.",10,98.33,0,"","target-prior",2,8.81745,20
"6","441","<i>(No context.)</i>","Washington had the opportunities this turnaround presents before.",10,95.21,1,"There is no context given at all.","target-prior",2,9.93138333333333,20
"7","1087","<i>(No context.)</i>","Baltimore County police were asked to say whether they have found the gun used in the crime.",26,83.21,1,"There is no context given but this seems like a pretty standard question for police during an investigation.","target-prior",2,9.93138333333333,20
"8","540","After coming to Christ, in order to catch up with the kids in Sunday school, I read the Bible a lot. I learned that if you read 40 chapters per day, you could read through the entire Bible every monthor, what I did more often, through the New Testament every week.","Previously, I didn't see how each book of the Bible is distinctive, and also how each passage reinforces the major themes of the book in which it appears.",14,34.25,0,"","target-prior",2,29.2102833333333,20
"9","1988"," Mashable is a leading global media company that informs, inspires and entertains the digital generation.","Storytelling has been defined before",11,98.95,1,"There is no mention of storytelling in the text.","target-prior",2,9.93138333333333,20
"10","989","I have a little thing for her. GOLD","You can keep the show on in some way.",6,62.31,1,"The show isn't mentioned in the text so it's a bit confusing.","target-prior",2,9.93138333333333,20
"11","748","She tells her story in a halting whisper and refuses to give her full name. But she has learned to read and write, to sew and to cut hair.","She joined (saw) her family before.",18,39.59,0,"","target-prior",2,8.55806666666667,20
"12","1686","MASON ","The king was alive before four years ago.",7,50,1,"It just says one word and gives no context.","target-prior",2,29.2102833333333,20
"13","364"," Thirty-three students died before the storm moved on.","the winds ripped up half of Princeton.",27,80.72,0,"","target-prior",2,5.72861666666667,20
"14","180","He was very close to completing both of the books. He'd done a lot of work on both of them.","something happens next.",6,100,0,"","target-prior",2,8.81745,20
"15","141","<i>(No context.)</i>","Peacock didn't film grizzly bears before 1975.",17,0,1,"There is simply no context given.","target-prior",2,8.81745,20
"16","327"," Sarah had already told Molly that she had no family and the father didn't know of the baby's existence.","She had considered before whether to tell him.",14,90.76,0,"","target-prior",2,9.93138333333333,20
